"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.656681404111088E9,"2022-07-01 21:16:44.111 UTC+08:00"
"PAUSE",2.160484734999482E2,1.656681620159893E9,"2022-07-01 21:20:20.160 UTC+08:00"
