"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.048457083E-1,-1.068029022E0,4.252357178E0,7.858657837E0
8.148037082E-1,-9.843530273E-1,4.253854065E0,8.224048004E0
8.247617083E-1,-9.089099121E-1,4.162993011E0,8.373886414E0
8.347197083E-1,-9.810598755E-1,4.106560364E0,8.440797272E0
8.446777082E-1,-1.081950073E0,4.057163086E0,8.538094940E0
8.546357083E-1,-1.055604858E0,4.084107056E0,8.523126068E0
8.645937083E-1,-9.927355957E-1,4.144132233E0,8.589138794E0
8.745517082E-1,-9.741741943E-1,4.189936981E0,8.430768127E0
8.845087083E-1,-9.265731812E-1,4.122876434E0,8.138276367E0
8.944667083E-1,-7.641609192E-1,4.089645538E0,8.087681580E0
9.044257082E-1,-7.072792053E-1,4.126169586E0,7.984995117E0
9.143827083E-1,-6.406677246E-1,4.027524719E0,7.861202545E0
9.243407083E-1,-6.378236389E-1,3.818559265E0,8.275540924E0
9.342984583E-1,-3.623963928E-1,3.775149536E0,8.380173340E0
9.442564583E-1,1.631607056E-2,3.955374756E0,7.877668304E0
9.542144582E-1,3.673361206E-1,4.165238342E0,7.711364136E0
9.641724583E-1,4.728666687E-1,4.137845306E0,7.277416534E0
9.741304583E-1,5.926176453E-1,4.101171570E0,6.679410095E0
9.840884582E-1,4.972659302E-1,4.002676392E0,6.917415161E0
9.940464583E-1,4.947212219E-1,3.535497894E0,7.368277588E0
1.004004458E0,8.867559814E-1,3.201242981E0,7.873477020E0
1.013962458E0,1.192420349E0,3.338357849E0,8.612340546E0
1.023920458E0,1.546284485E0,3.667673035E0,8.850944366E0
1.033878458E0,1.567390594E0,4.140839081E0,8.341403961E0
1.043836458E0,1.482966156E0,4.127067719E0,7.993826752E0
1.053794458E0,1.820514221E0,3.835174713E0,7.898175659E0
1.063752458E0,1.881587219E0,3.566483459E0,8.132438507E0
1.073710458E0,1.855840759E0,3.403921509E0,8.538843384E0
1.083668458E0,2.021097107E0,3.488345947E0,8.819360046E0
1.093626458E0,2.399659882E0,3.921395416E0,9.274563446E0
1.103584458E0,2.711910553E0,4.282294922E0,9.794881439E0
1.113542458E0,2.886447601E0,4.364024963E0,1.008827133E1
1.123500458E0,2.969225464E0,4.148173828E0,9.757010193E0
1.133458458E0,3.160228271E0,3.872596893E0,9.833650818E0
1.143416458E0,3.332519989E0,3.360362091E0,1.039767792E1
1.153374458E0,3.727249146E0,2.894830170E0,1.154549103E1
1.163332458E0,3.994593201E0,2.861449585E0,1.218780533E1
1.173290458E0,4.168232117E0,3.130739594E0,1.360520782E1
1.183248458E0,4.110901337E0,2.957250366E0,1.406654846E1
1.193206458E0,3.561843109E0,2.706072693E0,1.347707428E1
1.203164458E0,2.995420990E0,2.538870392E0,1.326676163E1
1.213122458E0,2.568957825E0,2.336341553E0,1.333546875E1
1.223080458E0,2.452500000E0,2.381098480E0,1.335986801E1
1.233038458E0,2.249971161E0,2.576591949E0,1.316272797E1
1.242996458E0,1.976489868E0,2.794987793E0,1.266606079E1
1.252954458E0,1.680555267E0,3.067870331E0,1.212284042E1
1.262912458E0,1.466350708E0,3.316652985E0,1.148965714E1
1.272870458E0,1.439706116E0,3.437900848E0,1.084120560E1
1.282828458E0,1.327589264E0,3.448678436E0,1.053793625E1
1.292786458E0,1.202748871E0,3.338058472E0,9.901310120E0
1.302744458E0,9.616003418E-1,3.228186951E0,9.037905579E0
1.312702458E0,8.964857483E-1,3.125949554E0,8.786877594E0
1.322660458E0,8.231382751E-1,2.977757721E0,8.692723389E0
1.332618458E0,7.367678833E-1,2.879112854E0,8.217461700E0
