"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.583707083E-1,9.449529462E-3,-6.565263867E-1,-1.823207587E-1
8.683287082E-1,-2.306293324E-2,-6.462442875E-1,-1.932113171E-1
8.782867083E-1,-8.980361372E-2,-6.613276005E-1,-1.958015114E-1
8.882437083E-1,-1.242452115E-1,-7.198377848E-1,-1.897701174E-1
8.982017083E-1,-1.440167874E-1,-7.748901248E-1,-2.041631639E-1
9.081607083E-1,-1.694017053E-1,-8.388159871E-1,-2.034492195E-1
9.181177083E-1,-1.447863728E-1,-8.637975454E-1,-1.722963750E-1
9.280757083E-1,-9.679860622E-2,-8.738011718E-1,-1.550748944E-1
9.380334583E-1,-6.968922913E-2,-9.833809137E-1,-1.878243089E-1
9.479914582E-1,-3.911806270E-2,-1.086177230E0,-2.708709836E-1
9.579494583E-1,-4.676906019E-2,-1.208684683E0,-3.422119617E-1
9.679074583E-1,-1.163107380E-1,-1.427263021E0,-3.866284192E-1
9.778654582E-1,-2.012623698E-1,-1.612219810E0,-4.214583039E-1
9.878234583E-1,-2.849301696E-1,-1.714255452E0,-3.962935209E-1
9.977814583E-1,-3.341113031E-1,-1.765562534E0,-3.224760294E-1
1.007739458E0,-3.453384340E-1,-1.698446631E0,-2.692425847E-1
1.017697458E0,-3.727841675E-1,-1.572246909E0,-2.640925646E-1
1.027655458E0,-4.581503272E-1,-1.536573172E0,-2.460644096E-1
1.037613458E0,-6.010915041E-1,-1.498361826E0,-2.339366376E-1
1.047571458E0,-7.590201497E-1,-1.445718646E0,-2.674367130E-1
1.057529458E0,-9.026830792E-1,-1.466818929E0,-2.813629210E-1
1.067487458E0,-1.019570589E0,-1.483987093E0,-2.533589602E-1
1.077445458E0,-1.118364811E0,-1.465109825E0,-2.072689533E-1
1.087403458E0,-1.207932115E0,-1.362277269E0,-2.256519198E-1
1.097361458E0,-1.298612118E0,-1.143675447E0,-3.341099322E-1
1.107319458E0,-1.375922918E0,-9.491889477E-1,-4.932431579E-1
1.117277458E0,-1.448172331E0,-9.620775580E-1,-6.331549287E-1
1.127235458E0,-1.508625746E0,-1.082969546E0,-7.243409157E-1
1.137193458E0,-1.569192648E0,-1.172176361E0,-7.290621400E-1
1.147151458E0,-1.568860292E0,-1.174480915E0,-6.798400283E-1
1.157109458E0,-1.415385008E0,-1.210734248E0,-6.183798313E-1
1.167067458E0,-1.201313853E0,-8.896194100E-1,-6.139486432E-1
1.177025458E0,-9.346711040E-1,-5.598391294E-1,-6.176823974E-1
1.186983458E0,-6.758057475E-1,-3.194599450E-1,-5.620939732E-1
1.196941458E0,-4.317598045E-1,-1.546494365E-1,-4.726887643E-1
1.206899458E0,-2.315031290E-1,7.821097225E-2,-3.371788859E-1
1.216857458E0,-2.871646918E-2,2.983364165E-1,-1.806723624E-1
1.226815458E0,1.443560719E-1,5.160135031E-1,-4.019141197E-2
1.236773458E0,2.801841795E-1,6.650024652E-1,5.718627572E-2
1.246731458E0,3.891507089E-1,7.543531656E-1,1.079591736E-1
1.256689458E0,4.449399412E-1,7.279806733E-1,1.055484787E-1
1.266647458E0,4.660511613E-1,6.059544086E-1,5.980904028E-2
1.276605458E0,4.814245105E-1,5.246550441E-1,1.690878998E-3
1.286563458E0,5.076159239E-1,3.691890240E-1,-3.431332856E-2
1.296521458E0,5.525019169E-1,1.905428618E-1,-9.235212952E-2
1.306479458E0,6.499423981E-1,6.090040505E-2,-1.823132634E-1
1.316437458E0,8.134892583E-1,-2.207783237E-2,-2.617146373E-1
1.326395458E0,9.956353307E-1,-6.746876985E-2,-3.113998473E-1
1.336353458E0,1.142741203E0,-7.865723968E-2,-3.447490036E-1
1.346311458E0,1.094315410E0,-1.509367526E-1,-3.806216121E-1
1.356269458E0,6.883662343E-1,-3.655124307E-1,-4.179434180E-1
1.366227458E0,1.524509490E-1,-3.547725677E-1,-4.700600505E-1
1.376185458E0,-2.588114142E-1,-2.502449974E-2,-4.711218476E-1
1.386143458E0,-5.216717124E-1,2.768768966E-1,-3.960587382E-1
1.396101458E0,-6.461699605E-1,5.117469430E-1,-2.792420983E-1
1.406059458E0,-5.569296479E-1,7.620319724E-1,-1.313180774E-1
1.416017458E0,-2.614935040E-1,9.658902884E-1,2.007303759E-2
1.425975458E0,1.215450317E-1,1.196988106E0,1.811428517E-1
1.435933458E0,4.576290250E-1,1.408348799E0,3.359302878E-1
1.445891458E0,6.842514873E-1,1.473729968E0,4.267315567E-1
1.455849458E0,7.698561549E-1,1.421346903E0,4.321678877E-1
1.465807458E0,7.597927451E-1,1.350282788E0,3.939585984E-1
1.475765458E0,7.422137260E-1,1.263899446E0,3.204622865E-1
1.485723458E0,7.921743989E-1,1.274825931E0,2.689921558E-1
1.495681458E0,9.008531570E-1,1.244244576E0,2.973715961E-1
1.505639458E0,9.699292779E-1,1.060210347E0,4.004818499E-1
1.515597458E0,9.647728205E-1,7.785030007E-1,5.112371445E-1
1.525555458E0,9.321731329E-1,6.013943553E-1,6.047453880E-1
1.535513458E0,8.944752812E-1,4.980970025E-1,6.242567301E-1
1.545471458E0,8.251088262E-1,5.014082193E-1,6.053736210E-1
1.555429458E0,7.122555375E-1,5.381598473E-1,5.828624368E-1
1.565387458E0,5.779116154E-1,5.515347719E-1,5.700389743E-1
1.575345458E0,4.461794198E-1,5.348508358E-1,6.093221903E-1
1.585303458E0,3.165886998E-1,5.502765179E-1,6.754927039E-1
1.595261458E0,2.129262239E-1,5.816254020E-1,7.694682479E-1
1.605219458E0,1.066153422E-1,6.303064823E-1,8.721549511E-1
1.615176458E0,2.786418423E-3,6.122153401E-1,9.316065311E-1
1.625134458E0,-8.004540950E-2,4.727894962E-1,9.315953255E-1
1.635092458E0,-9.531117976E-2,2.849541008E-1,8.612806797E-1
1.645050458E0,-1.804184169E-2,7.811120898E-2,7.601050735E-1
1.655008458E0,1.264306456E-1,-1.308425516E-1,6.809487343E-1
1.664966458E0,2.824517190E-1,-2.510892749E-1,6.433604956E-1
1.674924458E0,4.133391678E-1,-2.794724703E-1,6.457802057E-1
