"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.188872492E1,2.259088450E1,1.139618862E2,1.829607270E1,2.011823955E0,2.014502230E2,1.422966775E1,1.422966775E1
4.288872254E1,2.259086744E1,1.139618788E2,1.807288369E1,1.938029780E0,2.022551347E2,1.423716042E1,1.423716042E1
4.388872004E1,2.259085187E1,1.139618788E2,1.802680757E1,1.765452076E0,1.963498681E2,1.424896322E1,1.424896322E1
4.488871801E1,2.259082247E1,1.139618837E2,1.759926139E1,2.151157605E0,1.895426724E2,1.423735068E1,1.423735068E1
4.588871646E1,2.259079638E1,1.139618909E2,1.806258523E1,2.473700635E0,1.814510034E2,1.423945461E1,1.423945461E1
4.688871467E1,2.259078344E1,1.139618967E2,1.819948763E1,1.605964642E0,1.831276768E2,1.422665849E1,1.422665849E1
4.788871276E1,2.259075811E1,1.139618886E2,1.836147106E1,2.316737286E0,1.894994959E2,1.423294911E1,1.423294911E1
4.888871133E1,2.259073559E1,1.139618895E2,1.871413218E1,2.320280416E0,1.871110350E2,1.424162881E1,1.424162881E1
4.988871002E1,2.259071154E1,1.139618931E2,1.961168023E1,2.351303471E0,1.828987094E2,1.424526553E1,1.424526553E1
5.088870955E1,2.259068975E1,1.139618971E2,1.949054403E1,2.284997361E0,1.793190430E2,1.424050818E1,1.424050818E1
5.188870788E1,2.259066623E1,1.139618999E2,1.961420257E1,2.349871572E0,1.760723583E2,1.424488453E1,1.424488453E1
5.288870716E1,2.259064592E1,1.139619036E2,1.906062401E1,2.197193860E0,1.758672233E2,1.424588888E1,1.424588888E1
5.388870597E1,2.259062465E1,1.139619004E2,1.901686584E1,2.261586200E0,1.843631713E2,1.424330670E1,1.424330670E1
5.488870502E1,2.259059906E1,1.139618949E2,1.939503887E1,2.585288843E0,1.908893446E2,1.424535315E1,1.424535315E1
5.588870430E1,2.259059152E1,1.139619018E2,1.865695992E1,1.654272673E0,1.825607785E2,1.423873171E1,1.423873171E1
5.688870406E1,2.259056176E1,1.139619096E2,1.895511054E1,2.493318278E0,1.761150187E2,1.424231293E1,1.424231293E1
5.788870335E1,2.259055229E1,1.139619149E2,1.886083636E1,1.617383561E0,1.803295066E2,1.423595684E1,1.423595684E1
5.888870227E1,2.259053039E1,1.139619082E2,1.954818469E1,2.246788156E0,1.871593255E2,1.423554091E1,1.423554091E1
5.988870227E1,2.259051964E1,1.139619092E2,1.970591715E1,1.663750200E0,1.827096356E2,1.423194314E1,1.423194314E1
