"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.241565132E1,2.258853223E1,1.139683777E2,3.356026591E1,1.634568730E0,2.378691108E2,1.420118076E1,1.420118076E1
4.341583872E1,2.258851605E1,1.139683579E2,3.300922988E1,2.046235297E0,2.374998569E2,1.421085169E1,1.421085169E1
4.441601741E1,2.258850377E1,1.139683485E2,3.290400290E1,1.904401555E0,2.346791361E2,1.422656651E1,1.422656651E1
4.541618371E1,2.258849646E1,1.139683169E2,3.305964910E1,2.447820443E0,2.459623684E2,1.422113863E1,1.422113863E1
4.641633797E1,2.258849863E1,1.139683368E2,3.359211018E1,1.060592763E0,2.385247031E2,1.419715220E1,1.419715220E1
4.741648567E1,2.258849307E1,1.139683262E2,3.358020614E1,1.382794433E0,2.396292796E2,1.419578093E1,1.419578093E1
4.841662431E1,2.258848145E1,1.139683172E2,3.353140421E1,1.396188217E0,2.362546731E2,1.419370809E1,1.419370809E1
4.941675639E1,2.258847292E1,1.139683081E2,3.393538472E1,1.374998919E0,2.345339777E2,1.419454796E1,1.419454796E1
5.041687953E1,2.258846487E1,1.139682982E2,3.355219087E1,1.403525390E0,2.358618509E2,1.419346166E1,1.419346166E1
5.141699529E1,2.258845903E1,1.139682892E2,3.355514524E1,1.355255054E0,2.357223186E2,1.419302894E1,1.419302894E1
5.241710651E1,2.258844287E1,1.139682804E2,3.370341978E1,1.486361670E0,2.332670739E2,1.418827469E1,1.418827469E1
5.341721010E1,2.258842799E1,1.139682704E2,3.416984753E1,1.548808550E0,2.296221354E2,1.418696671E1,1.418696671E1
5.441730738E1,2.258842200E1,1.139682680E2,3.353549284E1,1.187635591E0,2.239720316E2,1.418319348E1,1.418319348E1
5.541739988E1,2.258840944E1,1.139682580E2,3.409024460E1,1.386133973E0,2.246490645E2,1.417808278E1,1.417808278E1
5.641748822E1,2.258840277E1,1.139682486E2,3.421668573E1,1.307600263E0,2.298839802E2,1.417801774E1,1.417801774E1
5.741757083E1,2.258839047E1,1.139682418E2,3.427135330E1,1.308644985E0,2.278477169E2,1.417225357E1,1.417225357E1
5.841764700E1,2.258838021E1,1.139682318E2,3.480765242E1,1.372680727E0,2.296267696E2,1.416606180E1,1.416606180E1
5.941772175E1,2.258837275E1,1.139682185E2,3.409379637E1,1.482276784E0,2.341307175E2,1.416690669E1,1.416690669E1
6.041779220E1,2.258835609E1,1.139682047E2,3.366228040E1,1.682686306E0,2.314670172E2,1.417943168E1,1.417943168E1
6.141785920E1,2.258834349E1,1.139682051E2,3.367172362E1,1.282072023E0,2.261908492E2,1.417306637E1,1.417306637E1
6.241792190E1,2.258833081E1,1.139681964E2,3.372378270E1,1.208442203E0,2.268737493E2,1.417549894E1,1.417549894E1
6.341798198E1,2.258831114E1,1.139681902E2,3.401784671E1,1.279229597E0,2.211188722E2,1.417048554E1,1.417048554E1
6.441803885E1,2.258830357E1,1.139681886E2,3.440618782E1,1.313356204E0,2.175142547E2,1.416663502E1,1.416663502E1
6.541809213E1,2.258828799E1,1.139681677E2,3.365836970E1,1.896598715E0,2.257521619E2,1.416999449E1,1.416999449E1
6.641814315E1,2.258827588E1,1.139681544E2,3.402269342E1,2.059627341E0,2.291052840E2,1.417883726E1,1.417883726E1
6.741819203E1,2.258826379E1,1.139681512E2,3.329914375E1,1.674592148E0,2.250467395E2,1.417247326E1,1.417247326E1
6.841823900E1,2.258825934E1,1.139681412E2,3.283130870E1,1.531353902E0,2.279326843E2,1.417093604E1,1.417093604E1
6.941828310E1,2.258825495E1,1.139681394E2,3.185573480E1,1.170145460E0,2.241579901E2,1.416899294E1,1.416899294E1
7.041832507E1,2.258825114E1,1.139681384E2,3.245236769E1,1.053143198E0,2.254008878E2,1.418701602E1,1.418701602E1
7.141836572E1,2.258824514E1,1.139681320E2,3.238890968E1,9.671046575E-1,2.262511604E2,1.424180598E1,1.424180598E1
7.241840494E1,2.258823916E1,1.139681274E2,3.236299484E1,9.001805210E-1,2.254439815E2,1.431153655E1,1.431153655E1
7.341844130E1,2.258823624E1,1.139681260E2,3.191653110E1,1.078688545E0,2.265144942E2,1.420901854E1,1.420901854E1
7.441847587E1,2.258823696E1,1.139681269E2,3.196931286E1,8.625332537E-1,2.301851348E2,1.421067468E1,1.421067468E1
7.541850996E1,2.258823457E1,1.139681256E2,3.229145733E1,4.299778842E-1,2.352360545E2,1.421974721E1,1.421974721E1
7.641854215E1,2.258824129E1,1.139681310E2,3.263509887E1,0.000000000E0,2.440845881E2,1.424727556E1,1.424727556E1
7.741857243E1,2.258824415E1,1.139681334E2,3.253172970E1,0.000000000E0,2.440845892E2,1.430023510E1,1.430023510E1
7.841860306E1,2.258825282E1,1.139681281E2,3.246441168E1,0.000000000E0,2.440845879E2,1.435884389E1,1.435884389E1
7.941863215E1,2.258824308E1,1.139681230E2,3.252450816E1,0.000000000E0,2.440845854E2,1.440997805E1,1.440997805E1
8.041865957E1,2.258822987E1,1.139680942E2,3.242834750E1,1.091568311E0,2.194466818E2,1.435085004E1,1.435085004E1
8.141868448E1,2.258822800E1,1.139680960E2,3.278883986E1,9.509166120E-1,2.233698123E2,1.440813939E1,1.440813939E1
