"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.639578503582750E9,"2021-12-15 22:28:23.583 UTC+08:00"
"PAUSE",8.165383995830780E1,1.639578585279295E9,"2021-12-15 22:29:45.279 UTC+08:00"
