"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.367311883E1,2.258760724E1,1.139662286E2,3.545077690E1,1.288879688E0,2.666085406E2,1.417675196E1,1.417675196E1
4.467315137E1,2.258760804E1,1.139662106E2,3.526348649E1,1.426766140E0,2.668442126E2,1.418033478E1,1.418033478E1
4.567318356E1,2.258760700E1,1.139661918E2,3.561397620E1,1.389311283E0,2.755336647E2,1.417929533E1,1.417929533E1
4.667321455E1,2.258760925E1,1.139661745E2,3.590427191E1,1.373939053E0,2.889384506E2,1.418175353E1,1.418175353E1
4.767324567E1,2.258760967E1,1.139661570E2,3.642443987E1,1.442766366E0,2.782190424E2,1.418450093E1,1.418450093E1
4.867327726E1,2.258760873E1,1.139661413E2,3.673040944E1,1.350839113E0,2.765667948E2,1.418674298E1,1.418674298E1
4.967330921E1,2.258761163E1,1.139661219E2,3.580423858E1,1.455263654E0,2.688511560E2,1.419051068E1,1.419051068E1
5.067334020E1,2.258761044E1,1.139661032E2,3.526382174E1,1.353041144E0,2.737347692E2,1.419200884E1,1.419200884E1
5.167337060E1,2.258760581E1,1.139660830E2,3.447947953E1,1.406931923E0,2.682198153E2,1.419576284E1,1.419576284E1
5.267340219E1,2.258760195E1,1.139660627E2,3.394691932E1,1.339381177E0,2.763374884E2,1.420039223E1,1.420039223E1
5.367343199E1,2.258759414E1,1.139660506E2,3.367086842E1,1.323580602E0,2.725948183E2,1.420173222E1,1.420173222E1
5.467346394E1,2.258759629E1,1.139660328E2,3.258960341E1,1.387001661E0,2.720406185E2,1.420489083E1,1.420489083E1
5.567349422E1,2.258760116E1,1.139660150E2,3.181549166E1,1.406734843E0,2.821850700E2,1.420878146E1,1.420878146E1
5.667352498E1,2.258759913E1,1.139660016E2,3.173046217E1,1.180793403E0,2.813765239E2,1.421164504E1,1.421164504E1
5.767355454E1,2.258760126E1,1.139659808E2,3.085049862E1,1.454392401E0,2.759587548E2,1.421311939E1,1.421311939E1
5.867358565E1,2.258760465E1,1.139659651E2,3.044716262E1,1.370063100E0,2.708503404E2,1.421531358E1,1.421531358E1
