"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.949594271E1,2.258777565E1,1.139664361E2,2.422025993E1,1.257145117E0,2.778052126E2,1.424771219E1,1.424771219E1
4.049406886E1,2.258778069E1,1.139664225E2,2.470165848E1,1.200913796E0,2.782162208E2,1.424310410E1,1.424310410E1
4.150293541E1,2.258778750E1,1.139664058E2,2.528330317E1,1.252599476E0,2.854011562E2,1.424265411E1,1.424265411E1
4.249844944E1,2.258778311E1,1.139663923E2,2.599570421E1,1.100118544E0,2.668889227E2,1.424129940E1,1.424129940E1
4.349366570E1,2.258778003E1,1.139663771E2,2.651013179E1,1.166769580E0,2.611753150E2,1.424140206E1,1.424140206E1
4.449364042E1,2.258777648E1,1.139663619E2,2.673032040E1,1.363124773E0,2.671471609E2,1.424135593E1,1.424135593E1
4.549898350E1,2.258776409E1,1.139663531E2,2.669116436E1,1.182683150E0,2.445812608E2,1.424039500E1,1.424039500E1
4.650047088E1,2.258776379E1,1.139663344E2,2.637944445E1,1.304324746E0,2.717053374E2,1.424177570E1,1.424177570E1
4.749368000E1,2.258777013E1,1.139663220E2,2.632301418E1,1.349538936E0,2.850019845E2,1.424115235E1,1.424115235E1
4.849358809E1,2.258777481E1,1.139663092E2,2.634545516E1,1.454881544E0,2.921871155E2,1.424411273E1,1.424411273E1
4.949265254E1,2.258777238E1,1.139662952E2,2.623682693E1,1.430797188E0,2.781037688E2,1.424446513E1,1.424446513E1
5.049541736E1,2.258777117E1,1.139662855E2,2.620117911E1,1.290091475E0,2.717230077E2,1.424276910E1,1.424276910E1
5.149674714E1,2.258777050E1,1.139662672E2,2.631538350E1,1.466580436E0,2.677469860E2,1.424462394E1,1.424462394E1
5.249079347E1,2.258777357E1,1.139662523E2,2.623553501E1,1.486396621E0,2.719706628E2,1.424560861E1,1.424560861E1
5.349992907E1,2.258777519E1,1.139662382E2,2.610354241E1,1.483802195E0,2.779124509E2,1.424848673E1,1.424848673E1
5.450273633E1,2.258776741E1,1.139662258E2,2.574121627E1,1.410432159E0,2.650401225E2,1.424851833E1,1.424851833E1
5.549541056E1,2.258776775E1,1.139662136E2,2.507949220E1,1.412288686E0,2.694744685E2,1.424637526E1,1.424637526E1
5.649722552E1,2.258777164E1,1.139661979E2,2.503034850E1,1.351234873E0,2.765056886E2,1.424638106E1,1.424638106E1
5.750046062E1,2.258776906E1,1.139661837E2,2.497367993E1,1.313102582E0,2.743317154E2,1.424797028E1,1.424797028E1
5.850262797E1,2.258776878E1,1.139661709E2,2.445891948E1,1.405564668E0,2.772015602E2,1.425003077E1,1.425003077E1
5.949479842E1,2.258776626E1,1.139661599E2,2.351021571E1,1.299899484E0,2.741468285E2,1.425205155E1,1.425205155E1
6.049351001E1,2.258776504E1,1.139661451E2,2.343335763E1,1.254421768E0,2.735954405E2,1.425261451E1,1.425261451E1
6.149597514E1,2.258776061E1,1.139661243E2,2.338668287E1,1.532684356E0,2.679557663E2,1.425410010E1,1.425410010E1
