"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.640500107327623E9,"2021-12-26 14:28:27.328 UTC+08:00"
"PAUSE",1.501544089583913E2,1.640500257662834E9,"2021-12-26 14:30:57.663 UTC+08:00"
