,latitude,longtitude
0,22.58789957,113.9669359
1,22.58759797000747,113.96696719999953
2,22.58759491851382,113.96696020872687
3,22.58759117586952,113.9669516955748
4,22.587630830580558,113.96704470973727
5,22.587622797672793,113.96713069732493
6,22.58753769238823,113.96692317525309
7,22.587729108937253,113.9668525946268
8,22.587699376003282,113.96685975897296
9,22.58769197702863,113.96685049600643
10,22.587694561146375,113.96683859406899
11,22.587697694489815,113.96682310202911
12,22.58770171451473,113.96680782588363
13,22.587704502575367,113.96679301132866
14,22.58770835819405,113.96677946441423
15,22.587714044653584,113.96676594979262
16,22.587720775267055,113.96675192484682
17,22.587726026029873,113.96673883554183
18,22.587728630700973,113.96672796395875
19,22.587732539785705,113.96671946142037
20,22.587735802030565,113.96670177844918
21,22.587737525456596,113.96668850359272
22,22.587736441701708,113.96668276970257
23,22.58774517465811,113.96666153030294
24,22.587751329205283,113.96664779612072
25,22.58775630313325,113.96663757484842
26,22.587766282180976,113.9666233277669
27,22.587765889018513,113.96659947368954
28,22.58776590247698,113.96659411052484
29,22.5877670735033,113.96658292408736
30,22.587766293788942,113.9665682453247
31,22.587780520733713,113.9665631622755
32,22.587780213125615,113.9665489465663
33,22.58777498942144,113.96653335135638
34,22.58777615027893,113.9665200049742
35,22.587768243614804,113.96650071152827
36,22.587762785125648,113.9664882028307
37,22.587762313362678,113.96646839357105
38,22.587767637669263,113.96644723416219
39,22.58777500567751,113.96643588886607
40,22.587779990947027,113.96642243516841
41,22.587786761508323,113.9664058700488
42,22.587782383399862,113.9663924320186
43,22.587779261645814,113.96637715306551
44,22.587775694893594,113.96636198498601
45,22.5877633154474,113.96635301243222
46,22.587762956174267,113.96633440830983
47,22.587769319919886,113.96632182848691
48,22.58777416637616,113.96630879220848
49,22.58777166831654,113.96629487475133
50,22.587770335838883,113.96628534065223
51,22.587769693309436,113.96626698371769
52,22.58777273439243,113.96625209705626
53,22.587774385513413,113.96623844489741
54,22.587766593210507,113.96622576407472
55,22.587767155230885,113.96621311031876
56,22.58777155272445,113.9661972151781
57,22.587768634364938,113.96618313129964
58,22.587768316760723,113.96617031970067
59,22.587765601001742,113.96615947251311
60,22.58776423023081,113.96614486217335
61,22.58775980931623,113.96612400575297
62,22.58775871454185,113.96611019506557
63,22.58775953422868,113.9660957463709
64,22.587754957973015,113.96607946791183
65,22.587748706068147,113.96606457965731
66,22.58775949946762,113.96605432143389
67,22.587758155490523,113.9660425058719
68,22.58778026715379,113.96603120995532
69,22.587772947523323,113.96601495873738
70,22.587772865821737,113.96599816107519
71,22.587777782335195,113.96598523544672
72,22.587781319038832,113.96596519089029
73,22.587783369839205,113.9659498853858
74,22.587786380961234,113.96592867135098
75,22.587790147799325,113.9659160512566
76,22.587788205126547,113.96589653110831
77,22.58778761228949,113.96588677482391
78,22.587783012576125,113.96587224459184
79,22.587780779689584,113.96586322525778
80,22.587776213367164,113.96584638672265
81,22.587770974511052,113.96582380481537
82,22.587775087855658,113.96580769622719
83,22.587776634904404,113.9657938847304
84,22.587774573853576,113.96578318679096
85,22.58777597465421,113.96576927985593
86,22.58775905978581,113.96575038711549
87,22.587760246115806,113.96574283247763
88,22.587761493011755,113.9657263610878
89,22.587763550293438,113.96570803865016
90,22.587763593090063,113.96569228069457
91,22.587765458580524,113.96568488307372
92,22.58777523001811,113.96566603804371
93,22.587776394679487,113.96564617809562
94,22.587778794418533,113.9656344504045
95,22.58777346407387,113.96562861376817
96,22.587761673086984,113.96561119280346
97,22.587759818327456,113.96559431909549
98,22.587754099510583,113.96557685528883
99,22.587747639029793,113.96556816367773
100,22.58773068564525,113.9655465738953
101,22.587724213698166,113.9655280508879
102,22.587732988420782,113.9655095225691
103,22.5877449176226,113.96548830720529
104,22.58775662328003,113.96546950025537
105,22.587767539521984,113.9654482227407
106,22.58777643063214,113.96543564549397
107,22.58777143743624,113.96543086002802
108,22.58776150560017,113.96542436099355
109,22.58775393633755,113.9654152558208
110,22.587750775326743,113.9653932789511
111,22.587754546832063,113.96537326647059
112,22.58775306646545,113.96535858911588
113,22.587762583202988,113.9653405960998
114,22.587766712559944,113.96532534739075
115,22.58776693949019,113.96532075813583
116,22.587763166408898,113.96530953614305
117,22.587767001344137,113.9652915603696
118,22.587768021355,113.9652784296027
119,22.587768002753943,113.96526152685227
120,22.587764604357837,113.96524469256786
121,22.5877609153973,113.96522539882521
122,22.587757269188863,113.96521088279616
123,22.587756324321198,113.9651971756513
124,22.587761383303622,113.96518416777559
125,22.587764639315566,113.96517261104907
126,22.58776721278784,113.96516326364633
127,22.587772098435124,113.96514101917674
128,22.58777219651664,113.96512022088254
129,22.587775125494012,113.96510662996245
130,22.587774538415164,113.9650967628643
131,22.58777344501166,113.96507751488032
132,22.587776621946674,113.96506425027547
133,22.58778388797739,113.9650587910668
134,22.58777902887621,113.96504479046293
135,22.587777555560923,113.96503634198045
136,22.58777738249581,113.96501693284533
137,22.587777945319882,113.96500264794501
138,22.587774467615613,113.96498797857443
139,22.58778043306327,113.96497394347224
140,22.58777862734588,113.96496164022535
141,22.58777419973971,113.96495342220719
142,22.58776957159909,113.96494281301933
143,22.587770292759927,113.96493202436726
144,22.587771238035376,113.9649206547762
145,22.587768945993666,113.96490974251893
146,22.58776707489114,113.96490561717808
147,22.587763215138136,113.96491041130922
148,22.587760043478994,113.96491291509858
149,22.587760060950547,113.96491300105755
150,22.58776008389716,113.96491301356699
151,22.587760106340344,113.96491297765327
152,22.587760127809826,113.96491301958804
