"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.399937500E-1,9.753978252E-2,5.637196302E-1,9.986732483E0
8.499937500E-1,5.586151406E-2,5.636238456E-1,9.902744293E0
8.619937500E-1,1.219319105E-1,6.584054828E-1,9.787707329E0
8.719937500E-1,1.769219339E-1,6.894630790E-1,9.687945366E0
8.839921870E-1,2.011895627E-1,7.271286845E-1,9.654109955E0
8.939937500E-1,1.958265454E-1,6.803076267E-1,9.756832123E0
9.039937500E-1,1.668567061E-1,6.452851892E-1,9.808900833E0
9.139937500E-1,1.635048240E-1,5.429666042E-1,9.844803810E0
9.239937500E-1,1.193940490E-1,5.218114853E-1,9.829788208E0
9.339937500E-1,8.120174706E-2,5.242248774E-1,9.771866798E0
9.439937500E-1,3.092350997E-2,5.188235044E-1,9.752205849E0
9.559921870E-1,-5.250005424E-2,6.072652936E-1,9.856104851E0
9.659937500E-1,-2.304179780E-2,6.425654292E-1,9.821752548E0
9.759937500E-1,3.790500388E-2,6.962147355E-1,9.865548134E0
9.879921870E-1,7.148128748E-2,7.123420238E-1,9.908853531E0
9.979921870E-1,3.344221041E-2,7.101585269E-1,9.850732803E0
1.007992187E0,5.901228264E-2,7.407947183E-1,9.951078415E0
1.017993750E0,9.730035439E-3,5.618712902E-1,9.887038231E0
1.027993750E0,-1.873031855E-1,5.998433232E-1,1.011476421E1
1.039992187E0,8.845138550E-2,4.553867579E-1,1.005786896E1
1.049993750E0,1.280514896E-1,4.055681825E-1,9.901259422E0
1.059993750E0,1.099321693E-1,4.598878622E-1,9.853509903E0
1.071992187E0,-1.283292100E-2,6.170911193E-1,9.731893539E0
1.081993750E0,-1.169328094E-1,6.305657029E-1,9.720295906E0
1.091993750E0,-1.427614540E-1,6.548812389E-1,9.840015411E0
1.103993750E0,-1.339124888E-1,6.451416016E-1,1.002623653E1
1.113993750E0,-1.507963985E-1,5.783720613E-1,9.995781898E0
1.124006250E0,-3.866156936E-2,6.360244751E-1,9.829539299E0
1.135993750E0,-1.291911211E-2,5.354201198E-1,9.719434738E0
1.145993750E0,-3.309744224E-2,4.500045776E-1,9.812932968E0
1.157993750E0,-7.805097103E-2,4.143788517E-1,9.958145142E0
1.169992187E0,-2.826019824E-1,5.011830330E-1,1.001731110E1
1.179992187E0,-3.369311988E-1,6.180967093E-1,9.885677338E0
1.189993750E0,-3.721163869E-1,5.740816593E-1,9.835207939E0
1.199993750E0,-2.577214241E-1,4.901026487E-1,9.956814766E0
1.211992187E0,-2.202186733E-1,5.706244707E-1,9.802848816E0
1.221993750E0,-3.351786435E-1,5.563741326E-1,9.600059509E0
1.231993750E0,-3.682473898E-1,5.231330395E-1,9.626415253E0
1.243993750E0,-2.973598540E-1,5.372014046E-1,9.886712074E0
1.253993750E0,-3.240121007E-1,4.786583781E-1,1.000940037E1
