"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.054737500E-1,-1.649336144E-2,-6.440265104E-3,-1.787217148E-2
9.154737500E-1,-1.155408006E-2,-4.712388851E-3,-2.251474746E-2
9.254737500E-1,-1.071632188E-2,-7.976154797E-3,-2.888519876E-2
9.354737500E-1,-1.197295822E-2,-6.352998316E-3,-3.071779385E-2
9.454737500E-1,-1.738347858E-2,-2.293362655E-2,-3.698352724E-2
9.574721870E-1,-1.893682219E-2,-2.277654596E-2,-3.275983036E-2
9.674737500E-1,-1.591740362E-2,-5.916666240E-3,-2.532472648E-2
9.774737500E-1,-1.286307629E-2,2.949606394E-3,-2.944370359E-2
9.894721870E-1,-1.785471849E-2,-2.146754880E-3,-3.684389964E-2
9.994721870E-1,-2.160717547E-2,-7.365289610E-3,-4.394739121E-2
1.009472187E0,-2.401573025E-2,-5.654866807E-3,-5.569345504E-2
1.019473750E0,-2.342231758E-2,4.722860828E-2,-6.524040550E-2
1.029473750E0,-2.125811018E-2,5.981243402E-2,-4.384266958E-2
1.041472187E0,-1.237438433E-2,5.099852011E-2,-4.330161959E-2
1.051473750E0,-4.188790335E-4,6.454227865E-2,-6.038839370E-2
1.061473750E0,1.247910410E-2,5.754350498E-2,-6.714281440E-2
1.073472187E0,1.045452245E-2,2.787290886E-2,-8.597491682E-2
1.083473750E0,-2.234021435E-3,6.126105785E-3,-8.045967668E-2
1.093473750E0,-1.125737373E-2,7.714355364E-3,-6.801547855E-2
1.105473750E0,-1.202531811E-2,3.558726236E-2,-5.633922666E-2
1.115473750E0,1.972222002E-3,3.513347730E-2,-5.113814771E-2
1.125486250E0,-5.235987483E-4,2.682571113E-2,-5.164429173E-2
1.137473750E0,-4.520402756E-3,1.729621366E-2,-6.056292355E-2
1.147473750E0,-2.094395168E-4,1.324704941E-2,-6.827727705E-2
1.159473750E0,1.188569237E-2,2.038544603E-2,-7.787659019E-2
1.171472187E0,2.967059799E-2,4.157374427E-2,-7.878416032E-2
1.181472187E0,3.090978041E-2,4.639085010E-2,-7.592181861E-2
1.191473750E0,1.771509275E-2,3.319616243E-2,-6.946410239E-2
1.201473750E0,2.651155181E-2,5.586798862E-2,-5.873033032E-2
1.213472187E0,2.713987045E-2,3.872885555E-2,-6.340780854E-2
1.223473750E0,6.056292448E-3,3.752457723E-2,-5.843362212E-2
1.233473750E0,-5.550147034E-3,4.171336815E-2,-4.297000542E-2
1.245473750E0,-1.288053021E-2,3.872885555E-2,-3.886848316E-2
1.255473750E0,-8.709193207E-3,3.776892647E-2,-3.309144080E-2
1.265473750E0,-1.937315450E-3,4.035201296E-2,-2.537708730E-2
