"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.956325729E1,4.063768203E1,1.222369804E2,4.289346360E0,6.279487610E-1,7.509999847E1,9.578393936E0,9.578393936E0
4.056310364E1,4.063768337E1,1.222369873E2,4.432402201E0,6.462900043E-1,7.693765259E1,1.010705853E1,1.010705853E1
4.156800104E1,4.063768289E1,1.222369929E2,4.577752822E0,6.396547556E-1,7.886545563E1,9.646612167E0,9.646612167E0
4.257301978E1,4.063768304E1,1.222369976E2,4.600887430E0,8.010454178E-1,8.101268005E1,9.844752312E0,9.844752312E0
4.356400156E1,4.063768347E1,1.222370064E2,4.696501851E0,7.201822996E-1,8.222402954E1,9.578091621E0,9.578091621E0
4.457153697E1,4.063768343E1,1.222370165E2,4.967153120E0,7.027463317E-1,8.301390839E1,9.259840012E0,9.259840012E0
4.556289999E1,4.063768441E1,1.222370243E2,5.020406718E0,6.146627069E-1,7.871581268E1,8.636564255E0,8.636564255E0
4.656575676E1,4.063768328E1,1.222370333E2,5.089106284E0,6.639507413E-1,8.273550415E1,9.047601700E0,9.047601700E0
4.756874114E1,4.063768165E1,1.222370425E2,5.196672503E0,8.468478322E-1,8.583908844E1,9.023305893E0,9.023305893E0
4.856436093E1,4.063768160E1,1.222370520E2,5.012498683E0,6.841886044E-1,8.768172455E1,9.122718811E0,9.122718811E0
4.957253280E1,4.063768260E1,1.222370620E2,4.988435122E0,6.951094866E-1,8.293730164E1,9.092846870E0,9.092846870E0
5.056743228E1,4.063768513E1,1.222370712E2,5.213093911E0,6.551378965E-1,7.980014801E1,9.726812363E0,9.726812363E0
5.156076301E1,4.063768549E1,1.222370815E2,5.255006475E0,6.516215205E-1,8.403164673E1,1.016897106E1,1.016897106E1
5.256620364E1,4.063768586E1,1.222370915E2,5.316901090E0,8.181245327E-1,8.498196411E1,9.687400818E0,9.687400818E0
5.359453958E1,4.063768402E1,1.222371000E2,5.232848438E0,5.792084932E-1,9.681777954E1,1.014611626E1,1.014611626E1
5.456651822E1,4.063768002E1,1.222371060E2,5.170484987E0,4.294242561E-1,1.376381836E2,1.135280800E1,1.135280800E1
5.556517707E1,4.063767408E1,1.222371080E2,5.132979640E0,5.340491533E-1,1.525140686E2,1.124762344E1,1.124762344E1
5.669174166E1,4.063766614E1,1.222371070E2,5.020945013E0,6.988283992E-1,2.233654175E2,1.065934277E1,1.065934277E1
5.756355155E1,4.063766408E1,1.222371058E2,4.821787602E0,5.199704170E-1,1.951505585E2,1.148955917E1,1.148955917E1
5.857392812E1,4.063766054E1,1.222371041E2,4.580689005E0,6.133811474E-1,1.901790314E2,1.179431534E1,1.179431534E1
5.959716145E1,4.063765601E1,1.222371034E2,4.332396714E0,8.265627027E-1,1.726298370E2,1.110735703E1,1.110735703E1
6.056584791E1,4.063765048E1,1.222371043E2,4.202533895E0,6.340724230E-1,1.726212921E2,1.158515739E1,1.158515739E1
6.156069426E1,4.063764528E1,1.222371058E2,4.340060243E0,6.339287758E-1,1.700314178E2,1.211412048E1,1.211412048E1
6.258152968E1,4.063763850E1,1.222371064E2,4.223353701E0,7.107238173E-1,1.713673248E2,1.214411545E1,1.214411545E1
6.356432239E1,4.063763208E1,1.222371076E2,4.051825073E0,6.926136613E-1,1.862759247E2,1.201384926E1,1.201384926E1
6.456036405E1,4.063762605E1,1.222371075E2,3.778363574E0,6.744642258E-1,1.813715820E2,1.231230545E1,1.231230545E1
6.558038332E1,4.063762053E1,1.222371096E2,3.507637776E0,5.903338194E-1,1.809939880E2,1.228000832E1,1.228000832E1
6.656691614E1,4.063761539E1,1.222371087E2,3.399397959E0,7.465009689E-1,1.736666718E2,1.238305092E1,1.238305092E1
6.756498645E1,4.063760950E1,1.222371093E2,3.225459498E0,6.479578614E-1,1.743863525E2,1.180463791E1,1.180463791E1
6.857195155E1,4.063760272E1,1.222371101E2,3.163011666E0,6.871582866E-1,1.666542816E2,1.126714706E1,1.126714706E1
6.956544322E1,4.063759537E1,1.222371119E2,3.042293405E0,7.607061863E-1,1.684051819E2,1.084417725E1,1.084417725E1
7.056683020E1,4.063758687E1,1.222371122E2,3.116091097E0,7.282022834E-1,1.740475159E2,1.092941570E1,1.092941570E1
7.160708488E1,4.063757985E1,1.222371154E2,2.945913738E0,6.727762222E-1,1.726560364E2,1.100441933E1,1.100441933E1
7.256689686E1,4.063757392E1,1.222371183E2,2.824231892E0,6.571403742E-1,1.730064545E2,1.168140793E1,1.168140793E1
7.356492655E1,4.063756822E1,1.222371216E2,2.830073266E0,8.500785232E-1,1.702844849E2,1.212462997E1,1.212462997E1
7.464966561E1,4.063756229E1,1.222371240E2,2.770155612E0,6.842941046E-1,1.667468872E2,1.210399818E1,1.210399818E1
7.556192916E1,4.063755641E1,1.222371265E2,2.546300877E0,6.674565077E-1,1.693259430E2,1.169749069E1,1.169749069E1
7.655560051E1,4.063754971E1,1.222371303E2,2.341717060E0,7.986770272E-1,1.628812561E2,1.164806175E1,1.164806175E1
