"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.461986251E-1,-4.181826115E-1,3.487361968E-1,-8.096413612E-1
7.561546250E-1,-5.690848231E-1,1.207192764E-1,-7.635787725E-1
7.661106250E-1,-7.468441725E-1,1.025931016E-1,-7.304595709E-1
7.760656250E-1,-9.448741674E-1,2.462575883E-1,-7.488856912E-1
7.860216250E-1,-1.152088404E0,3.138192296E-1,-8.513691425E-1
7.959776251E-1,-1.344307065E0,2.824873924E-1,-1.020061731E0
8.059336251E-1,-1.437130570E0,2.702645063E-1,-1.145381689E0
8.158896250E-1,-1.386354208E0,2.458315939E-1,-1.162113547E0
8.258456250E-1,-1.197259665E0,1.145258024E-1,-1.083863854E0
8.358016250E-1,-8.785536289E-1,3.014987335E-3,-9.427872896E-1
8.457576251E-1,-4.849458039E-1,-7.438268512E-2,-7.866572142E-1
8.557136250E-1,-1.137461588E-1,-1.248389333E-1,-6.730595231E-1
8.656696250E-1,1.746144295E-1,-1.478507966E-1,-5.792720914E-1
8.756256250E-1,3.160820901E-1,-1.776654273E-1,-4.892221093E-1
8.855806250E-1,3.274724483E-1,-1.408415139E-1,-4.223640263E-1
8.955366251E-1,2.244163901E-1,-1.621372253E-1,-3.899498880E-1
9.054926251E-1,5.866137892E-2,-2.514137030E-1,-3.985577822E-1
9.154486250E-1,-1.351701319E-1,-2.646096647E-1,-3.754167557E-1
9.254046250E-1,-3.464050591E-1,-2.076441050E-1,-3.714661896E-1
9.353606250E-1,-5.152790546E-1,-7.283595949E-2,-4.591135085E-1
9.453166251E-1,-6.803076267E-1,2.336563170E-1,-5.257277489E-1
9.552726251E-1,-7.633801103E-1,4.301826954E-1,-4.434251189E-1
9.652286250E-1,-6.565064192E-1,3.627780676E-1,-2.729381323E-1
9.751846250E-1,-5.698007941E-1,4.433432221E-1,-8.022910357E-2
9.851406250E-1,-4.986152053E-1,6.150389910E-1,-3.241904825E-2
9.950956251E-1,-5.105339289E-1,8.247477412E-1,-1.410502102E-2
1.005051625E0,-5.299951434E-1,9.653941989E-1,-1.517528296E-2
1.015007625E0,-5.110403895E-1,1.032550812E0,3.415018693E-2
1.024963625E0,-4.372206330E-1,1.058210969E0,1.169711798E-1
1.034919625E0,-3.488872945E-1,9.649997950E-1,2.139517963E-1
1.044875625E0,-2.395500839E-1,8.280373812E-1,2.873654962E-1
1.054831625E0,-1.375976205E-1,7.100816965E-1,3.127395511E-1
1.064787625E0,-1.379817352E-2,5.452634692E-1,2.992285192E-1
1.074743625E0,6.558666378E-2,3.744347394E-1,2.556794286E-1
1.084699625E0,1.193216816E-1,3.047480583E-1,2.131183743E-1
1.094655625E0,1.805115342E-1,3.975757360E-1,1.871829182E-1
1.104611625E0,2.243811190E-1,5.376541018E-1,2.048645765E-1
1.114566625E0,2.547200918E-1,6.629904509E-1,2.686086893E-1
1.124522625E0,2.522343993E-1,7.585422397E-1,3.510137200E-1
1.134478625E0,2.098712176E-1,7.657223940E-1,4.353712201E-1
