"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.639808210405142E9,"2021-12-18 14:16:50.405 UTC+08:00"
"PAUSE",1.527445373332594E2,1.639808363271655E9,"2021-12-18 14:19:23.272 UTC+08:00"
